id ra dec hi_size line_flux_integral central_freq pa i w20
94 0.4713055555555556 31.205277777777777 293 1.97 14716 180 45 317
95 0.47602777777777777 31.15722222222222 216 3.77 6060 180 45 266
96 0.47594444444444445 33.275 229 4.88 4733 180 45 242
97 0.48041666666666666 32.17444444444444 141 1.39 2893 180 45 167
98 0.4842222222222222 31.005 242 1.25 6110 180 45 266
99 0.4865277777777778 33.103611111111114 177 2.5 4817 180 45 194
100 0.49025 31.371944444444445 252 2.24 6334 180 45 286
101 0.4924722222222222 35.455555555555556 354 1.4 7496 180 45 405
102 0.4978611111111111 31.386388888888888 343 3.83 6307 180 45 359
103 0.5064722222222222 31.19388888888889 231 1.09 5918 180 45 237
104 0.5203055555555556 34.8725 174 2.14 6284 180 45 190
105 0.5363888888888889 31.419722222222223 318 1.39 6140 180 45 325
106 0.5368888888888889 31.681944444444447 277 6.77 6344 180 45 292
107 0.56525 31.448333333333334 126 6.2 4625 180 45 139
108 0.5667777777777777 36.164722222222224 43 0.83 4809 180 45 73
109 0.5797777777777777 31.712777777777777 161 3.65 6351 180 45 199
110 0.5819722222222222 31.953888888888887 293 1.19 5912 180 45 308
111 0.582 32.090833333333336 121 0.57 5971 180 45 132
112 0.5849444444444445 31.478055555555553 358 1.31 6059 180 45 373
113 0.5957222222222223 31.80638888888889 295 1.32 5789 180 45 310
114 0.5991388888888889 31.87138888888889 402 1.79 6349 180 45 417
115 0.6035277777777778 35.586111111111116 258 1.2 11468 180 45 275
116 0.6038333333333333 32.897777777777776 178 1.3 4866 180 45 186
117 0.6092777777777778 32.75 175 1.83 6067 180 45 188
118 0.6123611111111111 35.79111111111111 101 0.68 5937 180 45 113
119 0.6198333333333333 35.901666666666664 95 2.01 4436 180 45 146
120 0.6316111111111111 32.68805555555555 209 6.13 4821 180 45 228
121 0.6390833333333333 32.641666666666666 197 4.67 4703 180 45 206
122 0.6466666666666666 32.4225 73 0.84 11250 180 45 92
123 0.6526666666666667 31.85 42 0.83 5771 180 45 62
